timestamp,ip,port,traffic_type,action
2024-09-06 13:21:04,192.168.1.2,1000,HTTP,ALLOW
2024-09-06 13:21:04,192.168.1.2,8080,SSH,DENY
2024-09-06 13:21:04,192.168.1.2,9090,HTTPS,DENY
2024-09-06 13:21:04,192.168.1.2,3000,FTP,ALLOW
2024-09-06 13:21:04,192.168.1.7,1000,FTP,ALLOW
2024-09-06 13:21:04,192.168.1.7,8080,HTTPS,DENY
2024-09-06 13:21:04,192.168.1.7,9090,HTTP,DENY
2024-09-06 13:21:04,192.168.1.7,3000,SSH,ALLOW
2024-09-06 13:21:04,192.168.1.2,1000,HTTPS,ALLOW
2024-09-06 13:21:04,192.168.1.2,8080,HTTP,DENY
2024-09-06 13:21:04,192.168.1.7,9090,SSH,DENY
2024-09-06 13:21:04,192.168.1.7,3000,HTTPS,ALLOW
2024-09-06 13:21:06,192.168.1.7,3000,HTTP,DENY
2024-09-06 13:21:08,192.168.1.2,3000,HTTPS,DENY
2024-09-06 13:21:10,192.168.1.7,1000,HTTP,DENY
2024-09-06 13:21:12,192.168.1.2,8080,SSH,DENY
2024-09-06 13:21:14,192.168.1.2,1000,SSH,DENY
2024-09-06 13:21:16,192.168.1.7,3000,FTP,DENY
2024-09-06 13:21:18,192.168.1.2,3000,HTTPS,DENY
2024-09-06 13:21:20,192.168.1.7,9090,SSH,DENY
2024-09-06 13:21:22,192.168.1.2,8080,HTTPS,DENY
2024-09-06 13:21:24,192.168.1.2,3000,SSH,DENY
2024-09-06 13:21:26,192.168.1.7,1000,FTP,ALLOW
2024-09-06 13:21:28,192.168.1.2,8080,SSH,DENY
2024-09-06 13:21:30,192.168.1.7,3000,HTTPS,ALLOW
2024-09-06 13:21:32,192.168.1.7,3000,HTTPS,ALLOW
2024-09-06 13:21:34,192.168.1.7,3000,FTP,DENY
2024-09-06 13:21:36,192.168.1.2,9090,SSH,DENY
