timestamp,ip,port,traffic_type,action
2024-10-24 11:33:46,192.168.1.7123123213213123213,1000213213213123123213,HTTPS,DENY
2024-10-24 11:33:48,192.168.1.7,1000,HTTP,DENY
2024-10-24 11:33:50,192.168.1.7,1000,SSH,DENY
2024-10-24 11:33:52,192.168.1.2,8080,HTTPS,DENY
2024-10-24 11:33:54,192.168.1.2,9090,SSH,DENY
2024-10-24 11:33:56,192.168.1.7,9090,HTTPS,DENY
2024-10-24 11:33:58,192.168.1.7,1000,SSH,DENY
2024-10-24 11:34:00,192.168.1.2,3000,HTTPS,DENY
2024-10-24 11:34:02,192.168.1.2,8080,HTTPS,DENY
2024-10-24 11:34:04,192.168.1.2,8080,FTP,DENY
2024-10-24 11:34:06,192.168.1.7,8080,FTP,DENY
2024-10-24 11:34:08,192.168.1.2,9090,HTTP,DENY
2024-10-24 11:34:10,192.168.1.7,3000,HTTP,DENY
2024-10-24 11:34:12,192.168.1.2,9090,SSH,DENY
2024-10-24 11:34:14,192.168.1.2,1000,HTTPS,DENY
2024-10-24 11:34:16,192.168.1.2,3000,FTP,DENY
2024-10-24 11:34:18,192.168.1.2,3000,HTTP,DENY
2024-10-24 11:34:20,192.168.1.2,1000,SSH,DENY
2024-10-24 11:34:22,192.168.1.2,1000,HTTPS,DENY
2024-10-24 11:34:24,192.168.1.7,8080,FTP,DENY
2024-10-24 11:34:26,192.168.1.7,8080,FTP,DENY
2024-10-24 11:34:28,192.168.1.2,9090,HTTP,DENY
2024-10-24 11:34:30,192.168.1.2,9090,HTTP,DENY
2024-10-24 11:34:32,192.168.1.7,1000,HTTPS,DENY
2024-10-24 11:34:34,192.168.1.2,8080,SSH,DENY
2024-10-24 11:34:36,192.168.1.7,9090,HTTP,DENY
2024-10-24 11:34:38,192.168.1.2,9090,FTP,DENY
2024-10-24 11:34:40,192.168.1.2,3000,FTP,DENY
2024-10-24 11:34:42,192.168.1.2,8080,HTTPS,DENY
2024-10-24 11:34:44,192.168.1.7,9090,SSH,ALLOW
2024-10-24 11:34:46,192.168.1.2,3000,FTP,DENY
2024-10-24 11:34:48,192.168.1.7,9090,FTP,DENY
2024-10-24 11:34:50,192.168.1.2,3000,HTTP,DENY
2024-10-24 11:34:52,192.168.1.2,1000,FTP,DENY
2024-10-24 11:34:54,192.168.1.2,8080,HTTPS,DENY
2024-10-24 11:34:56,192.168.1.7,1000,FTP,DENY
2024-10-24 11:34:58,192.168.1.2,1000,HTTPS,DENY
2024-10-24 11:35:00,192.168.1.2,1000,HTTP,DENY
2024-10-24 11:35:02,192.168.1.7,8080,FTP,DENY
2024-10-24 11:35:04,192.168.1.2,9090,SSH,DENY
2024-10-24 11:35:06,192.168.1.7,1000,SSH,DENY
2024-10-24 11:35:08,192.168.1.2,8080,SSH,DENY
2024-10-24 11:35:10,192.168.1.7,9090,SSH,ALLOW
2024-10-24 11:35:12,192.168.1.7,9090,FTP,DENY
2024-10-24 11:35:14,192.168.1.2,8080,FTP,DENY
2024-10-24 11:35:16,192.168.1.7,9090,HTTPS,DENY
2024-10-24 11:35:18,192.168.1.2,9090,SSH,DENY
2024-10-24 11:35:20,192.168.1.2,9090,FTP,DENY
2024-10-24 11:35:22,192.168.1.7,3000,HTTP,DENY
2024-10-24 11:35:24,192.168.1.2,3000,FTP,DENY
