timestamp,ip,port,traffic_type,action
2024-08-20 11:56:52,192.168.1.7,1000,FTP,DENY
2024-08-20 11:56:54,192.168.1.7,9090,HTTP,ALLOW
2024-08-20 11:56:56,192.168.1.2,9090,HTTP,DENY
2024-08-20 11:56:58,192.168.1.7,3000,SSH,DENY
2024-08-20 11:57:00,192.168.1.2,8080,FTP,DENY
2024-08-20 11:57:02,192.168.1.2,9090,SSH,DENY
2024-08-20 11:57:04,192.168.1.2,1000,SSH,DENY
2024-08-20 11:57:06,192.168.1.7,1000,FTP,DENY
2024-08-20 11:57:08,192.168.1.7,1000,HTTPS,DENY
2024-08-20 11:57:10,192.168.1.7,3000,HTTP,DENY
2024-08-20 11:57:12,192.168.1.2,3000,HTTPS,DENY
2024-08-20 11:57:14,192.168.1.7,9090,HTTPS,DENY
2024-08-20 11:57:16,192.168.1.7,8080,SSH,DENY
2024-08-20 11:57:18,192.168.1.2,8080,HTTP,ALLOW
2024-08-20 11:57:20,192.168.1.2,8080,HTTPS,DENY
